accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.5, 0.6]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.1, 0.2]","bucket_(0.9, 1.0]",home_team_baseline_log_loss,elo_baseline_log_loss,team_only_model_log_loss,sportsbook_benchmark_log_loss,beats_home_team_baseline,beats_elo_baseline,beats_team_only_model,beats_sportsbook_benchmark,row_type,probability_bucket,games,realized_home_win_rate
0.6048780487804878,0.24061636525066787,0.6785333236194192,0.6253860152567619,0.045440983318686026,player_features_only,66.0,logistic_l2,0.5740061083403439,0.16292655235858347,0.9359497554252664,53.0,147.0,208.0,244.0,274.0,197.0,90.0,7.0,10.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,True,False,False,False,,,,
0.5227642276422764,0.25790166142691195,0.7119484915939236,0.5400176920883859,0.09955954570467603,home_court_only,1.0,logistic_l2,0.564645393937828,0.22010030067855751,0.8900882177324291,25.0,123.0,274.0,303.0,280.0,174.0,51.0,,,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,False,False,False,False,,,,
0.5422764227642276,0.2578509299012892,0.7127242779389987,0.5456810255016533,0.08439756485217395,rest_and_schedule_only,8.0,logistic_l2,0.5642766931956258,0.2066972839671032,0.9241977193467433,26.0,134.0,264.0,301.0,267.0,187.0,49.0,,2.0,0.7119484915939236,0.6539658748317975,0.6709685697632788,0.6047117495950075,False,False,False,False,,,,
,,,,,home_court_only,,,0.2659046971439455,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",25.0,0.68
,,,,,home_court_only,,,0.3605058146993898,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",123.0,0.5365853658536586
,,,,,home_court_only,,,0.4545181168860034,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",274.0,0.5145985401459854
,,,,,home_court_only,,,0.5498003761636187,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",303.0,0.48184818481848185
,,,,,home_court_only,,,0.6470260125335259,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",280.0,0.5357142857142857
,,,,,home_court_only,,,0.739895838326808,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",174.0,0.6609195402298851
,,,,,home_court_only,,,0.833085578908073,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",51.0,0.6666666666666666
