diagnostic_type,item,status,value,detail
high_correlation,away_expected_active_players__away_player_active_count_last5,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_top5_minutes_total__home_player_top5_minutes_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,away_expected_plus_minus_from_active_rotation__away_player_top8_plus_minus_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_top8_rotation__home_player_top8_games_played_share_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_plus_minus_from_active_rotation__home_player_top8_plus_minus_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_assists_from_active_rotation__home_player_top8_ast_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,expected_top5_minutes_total_diff__player_top5_minutes_last10_diff,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_active_players__home_player_active_count_last5,warn,1.0,absolute correlation >= 0.95
high_correlation,away_expected_assists_from_active_rotation__away_player_top8_ast_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,expected_plus_minus_from_active_rotation_diff__player_top8_plus_minus_last10_diff,warn,1.0,absolute correlation >= 0.95
high_correlation,expected_points_from_active_rotation_diff__player_top8_points_last10_diff,warn,1.0,absolute correlation >= 0.95
high_correlation,away_expected_rebounds_from_active_rotation__away_player_top8_reb_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_points_from_active_rotation__home_player_top8_points_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,away_expected_points_from_active_rotation__away_player_top8_points_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,home_expected_rebounds_from_active_rotation__home_player_top8_reb_last10,warn,1.0,absolute correlation >= 0.95
high_correlation,away_player_prior_games_last10__home_player_prior_games_last10,warn,0.9906538285141363,absolute correlation >= 0.95
high_correlation,away_missing_key_players_count__away_player_key_absence_minutes_last_game,warn,0.9717541276902844,absolute correlation >= 0.95
high_correlation,home_missing_key_players_count__home_player_key_absence_minutes_last_game,warn,0.9687055687502747,absolute correlation >= 0.95
high_correlation,missing_key_players_count_diff__player_key_absence_minutes_last_game_diff,warn,0.9670055810680794,absolute correlation >= 0.95
team_strength_duplication,away_expected_active_players,pass,0.16062728315783906,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_assists_from_active_rotation,pass,0.44573037639337965,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_plus_minus_from_active_rotation,warn,0.9208212958264925,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_points_from_active_rotation,pass,0.6964151026845258,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_rebounds_from_active_rotation,pass,0.34267509414500175,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_top5_minutes_total,pass,0.15873058585494687,max absolute correlation to team-strength feature
team_strength_duplication,away_expected_top8_rotation,pass,0.275148975811026,max absolute correlation to team-strength feature
team_strength_duplication,away_missing_key_players_count,pass,0.15542377393578494,max absolute correlation to team-strength feature
team_strength_duplication,away_missing_top3_minutes_players_count,pass,0.09288909357359786,max absolute correlation to team-strength feature
team_strength_duplication,away_missing_top5_minutes_players_count,pass,0.10013342732002098,max absolute correlation to team-strength feature
team_strength_duplication,away_player_active_count_last5,pass,0.16062728315783906,max absolute correlation to team-strength feature
team_strength_duplication,away_player_key_absence_minutes_last_game,pass,0.1483158979881421,max absolute correlation to team-strength feature
team_strength_duplication,away_player_prior_games_last10,pass,0.5500329125429341,max absolute correlation to team-strength feature
team_strength_duplication,away_player_rotation_continuity_last5,pass,0.20200794436788164,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top3_minutes_last10,pass,0.14285344484676782,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top5_minutes_last10,pass,0.15873058585494687,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_ast_last10,pass,0.44573037639337965,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_games_played_share_last10,pass,0.275148975811026,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_minutes_gap_last_game,pass,0.08644613413354894,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_minutes_last10,pass,0.18560899210345552,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_plus_minus_last10,warn,0.9208212958264925,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_points_last10,pass,0.6964151026845258,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_reb_last10,pass,0.34267509414500175,max absolute correlation to team-strength feature
team_strength_duplication,away_player_top8_value_last10,pass,0.58469300341142,max absolute correlation to team-strength feature
team_strength_duplication,expected_plus_minus_from_active_rotation_diff,warn,0.9264459868303098,max absolute correlation to team-strength feature
team_strength_duplication,expected_points_from_active_rotation_diff,pass,0.6997425524761196,max absolute correlation to team-strength feature
team_strength_duplication,expected_top5_minutes_total_diff,pass,0.1812276201131901,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_active_players,pass,0.19333979436180804,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_assists_from_active_rotation,pass,0.46715992695645153,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_plus_minus_from_active_rotation,warn,0.9262155639528106,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_points_from_active_rotation,pass,0.6987086277874441,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_rebounds_from_active_rotation,pass,0.349050226149698,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_top5_minutes_total,pass,0.15974337132984698,max absolute correlation to team-strength feature
team_strength_duplication,home_expected_top8_rotation,pass,0.28546481722002504,max absolute correlation to team-strength feature
team_strength_duplication,home_missing_key_players_count,pass,0.17018159500482727,max absolute correlation to team-strength feature
team_strength_duplication,home_missing_top3_minutes_players_count,pass,0.10407869718250556,max absolute correlation to team-strength feature
team_strength_duplication,home_missing_top5_minutes_players_count,pass,0.08093250803661703,max absolute correlation to team-strength feature
team_strength_duplication,home_player_active_count_last5,pass,0.19333979436180804,max absolute correlation to team-strength feature
team_strength_duplication,home_player_key_absence_minutes_last_game,pass,0.1659143881658063,max absolute correlation to team-strength feature
team_strength_duplication,home_player_prior_games_last10,pass,0.549924933858372,max absolute correlation to team-strength feature
team_strength_duplication,home_player_rotation_continuity_last5,pass,0.22279975577711505,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top3_minutes_last10,pass,0.13490091948831376,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top5_minutes_last10,pass,0.15974337132984698,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_ast_last10,pass,0.46715992695645153,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_games_played_share_last10,pass,0.28546481722002504,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_minutes_gap_last_game,pass,0.07318304502112546,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_minutes_last10,pass,0.19835804041708388,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_plus_minus_last10,warn,0.9262155639528106,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_points_last10,pass,0.6987086277874441,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_reb_last10,pass,0.349050226149698,max absolute correlation to team-strength feature
team_strength_duplication,home_player_top8_value_last10,pass,0.5890297682977451,max absolute correlation to team-strength feature
team_strength_duplication,missing_key_players_count_diff,pass,0.13524902734496647,max absolute correlation to team-strength feature
team_strength_duplication,player_active_count_last5_diff,pass,0.16837401639900915,max absolute correlation to team-strength feature
team_strength_duplication,player_key_absence_minutes_last_game_diff,pass,0.11794409197924399,max absolute correlation to team-strength feature
team_strength_duplication,player_prior_games_last10_diff,pass,0.14417023445348243,max absolute correlation to team-strength feature
team_strength_duplication,player_rotation_continuity_last5_diff,pass,0.16769613547909004,max absolute correlation to team-strength feature
team_strength_duplication,player_top3_minutes_last10_diff,pass,0.14293041261869396,max absolute correlation to team-strength feature
team_strength_duplication,player_top5_minutes_last10_diff,pass,0.1812276201131901,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_ast_last10_diff,pass,0.44474893940012616,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_games_played_share_last10_diff,pass,0.17911148195025153,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_minutes_gap_last_game_diff,pass,0.09214430619889077,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_minutes_last10_diff,pass,0.21804358641511568,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_plus_minus_last10_diff,warn,0.9264459868303098,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_points_last10_diff,pass,0.6997425524761196,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_reb_last10_diff,pass,0.36409687458031775,max absolute correlation to team-strength feature
team_strength_duplication,player_top8_value_last10_diff,pass,0.6011149541097922,max absolute correlation to team-strength feature
coverage_summary,player_data_available,pass,1.0,projected_rotation_available=0.9548
