accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.5, 0.6]",fold,train_seasons,validation_season,training_games,validation_games,calibration_method,optional_fold,"bucket_(-0.001, 0.1]","bucket_(0.1, 0.2]","bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.9, 1.0]"
0.6340361445783133,0.2300496977768989,0.6554986359652859,0.648290537664917,0.06095435960579359,elo_only,3,logistic_l2,0.5613927488519962,0.15015440563349727,0.8967184937332984,128,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,8.0,48.0,76.0,110.0,128.0,116.0,50.0,
0.5993975903614458,0.23771669447578586,0.6692548155240222,0.6314276256679434,0.09384201134077559,team_only_logistic,12,logistic_l2,0.515227911581892,0.14962202585392423,0.919141201429694,145,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,6.0,43.0,114.0,146.0,133.0,61.0,15.0,1.0
0.6024096385542169,0.2397079036207492,0.6737665741338744,0.6326192840592046,0.09805513268704884,team_plus_selected_player_logistic,24,logistic_l2,0.5050796680277593,0.11015916590033864,0.9021230007773855,159,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,7.0,65.0,111.0,134.0,109.0,65.0,13.0,1.0
0.5978915662650602,0.2342509297053305,0.6606077348026814,0.6076701186929588,0.049222433423356395,team_plus_selected_player_random_forest,24,random_forest,0.5557580704212337,0.28586772131438987,0.7921381505560144,171,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,,1.0,58.0,165.0,205.0,64.0,,
0.5933734939759037,0.23638716840635016,0.6650742759788424,0.6000141864094197,0.045155022859627116,team_plus_selected_player_gradient_boosting,24,gradient_boosting,0.5557485915982041,0.29428750147192534,0.832701776174159,131,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,,3.0,61.0,189.0,216.0,57.0,7.0,
0.5813253012048193,0.23762304284544392,0.6677184585586536,0.6052300562727574,0.06183707191193678,team_plus_selected_player_xgboost,24,xgboost,0.541722999257316,0.19083838164806366,0.8556243777275085,162,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,1.0,16.0,99.0,145.0,164.0,56.0,21.0,
0.6203966005665722,0.2288936143675612,0.6493506718450172,0.6672025955299208,0.04246477420367853,team_plus_selected_player_random_forest_uncalibrated,24,random_forest,0.5916128278426562,0.3036842949398743,0.8307875057360881,259,1,2018-19,2019-20,1230,1059,uncalibrated,False,,,,65.0,212.0,283.0,230.0,10.0,
0.6166194523135033,0.22866847413983146,0.6490109850286239,0.6672025955299208,0.04599770492311012,team_plus_selected_player_random_forest_platt,24,random_forest,0.5925238963478076,0.23330133556683155,0.850302723632127,200,1,2018-19,2019-20,1230,1059,platt,False,,,30.0,115.0,168.0,201.0,296.0,49.0,
0.6175637393767706,0.23044275388966512,0.6683893539726314,0.6650702956020188,0.05107945977608559,team_plus_selected_player_random_forest_isotonic,24,random_forest,0.5886215156147846,1e-06,0.999999,266,1,2018-19,2019-20,1230,1059,isotonic,False,5.0,32.0,,230.0,35.0,235.0,125.0,61.0,70.0
0.6074074074074074,0.23013662051662723,0.6514842279065379,0.6608636757881207,0.036405632034110035,team_plus_selected_player_random_forest_uncalibrated,24,random_forest,0.5756787366108265,0.2612741760336772,0.8350180612807552,256,2,"2018-19, 2019-20",2020-21,2289,1080,uncalibrated,False,,,12.0,128.0,191.0,260.0,212.0,21.0,
0.6138888888888889,0.23190245597286552,0.6555724349602866,0.6608636757881207,0.06151536380126944,team_plus_selected_player_random_forest_platt,24,random_forest,0.5756518513297281,0.19174378989378513,0.8588811043960569,176,2,"2018-19, 2019-20",2020-21,2289,1080,platt,False,,2.0,79.0,133.0,160.0,178.0,282.0,70.0,
0.6148148148148148,0.23337172992851704,0.6899698580523397,0.6593207805356767,0.06165675603562617,team_plus_selected_player_random_forest_isotonic,24,random_forest,0.5755628685617578,1e-06,0.999999,128,2,"2018-19, 2019-20",2020-21,2289,1080,isotonic,False,9.0,14.0,68.0,115.0,209.0,170.0,253.0,58.0,56.0
0.6227642276422765,0.230799353553185,0.653937207578867,0.6539518103749177,0.024503136466632058,team_plus_selected_player_random_forest_uncalibrated,24,random_forest,0.5684055754910223,0.2739165381633382,0.8131939300066048,264,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,uncalibrated,False,,,12.0,153.0,250.0,304.0,228.0,19.0,
0.6268292682926829,0.23265382563513948,0.6590437243079604,0.6539518103749177,0.05648326856889265,team_plus_selected_player_random_forest_platt,24,random_forest,0.569348501309058,0.19837333293161946,0.8502373872251542,186,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,platt,False,,1.0,104.0,160.0,185.0,219.0,275.0,100.0,
0.6268292682926829,0.23619678489850846,0.6718256484107528,0.6540943595810386,0.07543696460611088,team_plus_selected_player_random_forest_isotonic,24,random_forest,0.570416096527498,1e-06,0.96,172,3,"2018-19, 2019-20, 2020-21",2021-22,3369,1230,isotonic,False,15.0,48.0,55.0,185.0,167.0,234.0,186.0,73.0,95.0
0.5978915662650602,0.2342509297053305,0.6606077348026815,0.6076701186929588,0.049222433423356395,team_plus_selected_player_random_forest_uncalibrated,24,random_forest,0.5557580704212337,0.2858677213143899,0.7921381505560144,171,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,uncalibrated,True,,,1.0,58.0,165.0,205.0,64.0,,
0.588855421686747,0.23735741866053453,0.667307028371242,0.6076701186929588,0.04872130213875701,team_plus_selected_player_random_forest_platt,24,random_forest,0.5557307198458868,0.21111222686058595,0.8337620585051624,113,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,platt,True,,,27.0,89.0,146.0,164.0,107.0,18.0,
0.5963855421686747,0.23774171267799726,0.6683690315737005,0.6091313188631957,0.06538980523818512,team_plus_selected_player_random_forest_isotonic,24,random_forest,0.5542728502317945,1e-06,0.95,176,4,"2018-19, 2019-20, 2020-21, 2021-22",2022-23,4599,664,isotonic,True,4.0,9.0,,139.0,48.0,175.0,61.0,46.0,6.0
